物件名,住所,間取り,家賃,階数,最寄りまでの時間
ＪＲ山手線 田端駅 15階建 築7年,東京都北区東田端２,2LDK,20万円,"築7年
15階建",ＪＲ山手線/田端駅 歩5分
向山ガーデンレジデンス,東京都練馬区向山１,2LDK,17.5万円,"新築
9階建",西武池袋線/中村橋駅 歩5分
ＨＦ正光寺赤羽レジデンスII,東京都北区岩淵町,2LDK,20万円,"築5年
14階建",東京メトロ南北線/赤羽岩淵駅 歩5分
Ｓｔｏｎｅ　ＦｏｒｅｓｔＶ,東京都豊島区長崎６,2LDK,19.5万円,"新築
4階建",西武池袋線/東長崎駅 歩10分
ロッテンハイム,東京都杉並区下井草３,2LDK,12.8万円,"築11年
2階建",西武新宿線/下井草駅 歩9分
砧倶楽部アネックス,東京都世田谷区砧４,2DK,14.7万円,"築14年
3階建",小田急線/祖師ヶ谷大蔵駅 歩9分
クオリスタ志村,東京都板橋区志村２,2LDK,15.3万円,"新築
3階建",都営三田線/志村三丁目駅 歩3分
ＪＲ埼京線 浮間舟渡駅 2階建 築14年,東京都板橋区舟渡２,2LDK,15万円,"築14年
2階建",ＪＲ埼京線/浮間舟渡駅 歩10分
ＪＲ京浜東北線 大宮駅 14階建 築10年,東京都品川区東大井２,2LDK,17.7万円,"築10年
14階建",ＪＲ京浜東北線/大宮駅 歩12分
グレイスコート,東京都練馬区石神井町７,2LDK,16.3万円,"新築
2階建",西武池袋線/石神井公園駅 歩9分
クレヴィスタ綾瀬II,東京都足立区綾瀬５,2LDK,19万円,"築3年
8階建",ＪＲ常磐線/綾瀬駅 歩10分
ＪＲ常磐線 綾瀬駅 8階建 新築,東京都足立区東綾瀬２,2LDK,18.95万円,"新築
8階建",ＪＲ常磐線/綾瀬駅 歩10分
Angsana Hills,東京都練馬区桜台５,2LDK,16.5万円,"新築
2階建",西武池袋線/桜台駅 歩9分
西武池袋線 桜台駅 2階建 新築,東京都練馬区桜台５,2LDK,16.5万円,"新築
2階建",西武池袋線/桜台駅 歩9分
レリーフ,東京都練馬区三原台１,2LDK,15万円,"築8年
2階建",西武池袋線/石神井公園駅 歩10分
リオン,東京都練馬区中村南３,2LDK,15.3万円,"築10年
2階建",西武池袋線/中村橋駅 歩14分
AZUL東山II,東京都板橋区東山町,2LDK,15.2万円,"新築
3階建",東武東上線/ときわ台駅 歩10分
パークキューブ西ヶ原ステージ,東京都北区西ケ原４,2LDK,18.8万円,"築15年
地下2地上14階建",都営三田線/西巣鴨駅 歩9分
東急東横線 学芸大学駅 2階建 築3年,東京都世田谷区下馬５,2DK,15.5万円,"築3年
2階建",東急東横線/学芸大学駅 歩9分
マル・アズール品川ウエスト,東京都品川区西品川２,2LDK,20万円,"築7年
3階建",ＪＲ山手線/大崎駅 歩8分
リトルズトーン目白下落合,東京都新宿区下落合３,2DK,17.2万円,"築8年
10階建",ＪＲ山手線/目白駅 歩9分
西武新宿線 下井草駅 2階建 新築,東京都杉並区井草１,2LDK,16.8万円,"新築
2階建",西武新宿線/下井草駅 歩7分
ＥＸＣＲＥＡ　I,東京都新宿区新宿７,2DK,18.5万円,"新築
3階建",都営大江戸線/東新宿駅 歩5分
小田急線 千歳船橋駅 4階建 築9年,東京都世田谷区経堂４,2DK,14.9万円,"築9年
4階建",小田急線/千歳船橋駅 歩3分
西武新宿線 下井草駅 2階建 新築,東京都杉並区井草１,2LDK,17.2万円,"新築
2階建",西武新宿線/下井草駅 歩7分
東急田園都市線 駒沢大学駅 3階建 築7年,東京都世田谷区上馬１,2DK,16.4万円,"築7年
3階建",東急田園都市線/駒沢大学駅 歩9分
ミハス三軒茶屋,東京都世田谷区上馬１,2DK,16.4万円,"築7年
3階建",東急田園都市線/駒沢大学駅 歩9分
ガーデンパレス高円寺,東京都杉並区高円寺北２,2LDK,17.8万円,"築7年
3階建",ＪＲ中央線/高円寺駅 歩7分
ジ・オーキッドマナー,東京都杉並区和泉４,2LDK,15.8万円,"築11年
5階建",東京メトロ丸ノ内線/方南町駅 歩5分
ＪＲ総武線 西荻窪駅 2階建 築3年,東京都杉並区西荻南２,2LDK,17.7万円,"築3年
2階建",ＪＲ総武線/西荻窪駅 歩7分
ノハナテラス,東京都練馬区平和台２,2LDK,16万円,"新築
3階建",東京メトロ有楽町線/平和台駅 歩10分
プラムガーデン平和台,東京都練馬区北町５,2LDK,18万円,"新築
4階建",東京メトロ有楽町線/平和台駅 歩9分
